Overhead,Temporary overhead stance that increases attack and defense.,Stance Skill,Katanas Lv.3
Zamba,Strong katana slice from the Overhead stance.,Offensive Katana Skill,Katanas Lv.5 Overhead Lv.1
Midareba,Repeated katana slashes from the Overhead stance,Katanas Lv.7 Overhead Lv.3
Orochi,Execute an fire katana strike from the Overhead stance.,Katanas Lv.10 Overhead Lv.5
Seigan,Temporary Seigan stance that increases attack and defense.,Stance Skill,Katanas Lv.3
Mikiri,Deflect an enemy attack with a katana from the Seigan stance.,Defensive Katana Skill.,Katanas Lv.5 Seigan Lv.1
Koteushi,Immobilize an enemy's arms with a katana from the Seigan stance.,Binding Katana Skill,Katanas Lv.7 Seigan Lv.3
Raizuki,Execute an volt katana stike from the Seigan stance.,Offensive Katana Skill,Katanas Lv.10 Seigan Lv.5
Iai,Temporary Iai katana stance that increases speed.,Stance Skill,Katanas Lv.3
Kubiuchi,Chance of an instant katana kill from the Iai stance.,Offensive Katana Skill,Katanas Lv.5 Iai Lv.1
Gatotsu,Extremely powerful, lightning-quick katana stab.,Katanas Lv.7 Iai Lv.3
Hyosetsu,Execute an ice katana strike from the Iai stance.,Katanas Lv.10 Iai Lv.5
Mine,Mine for materials at item points.,Gather,Available at Start

HP Up,Increases maximum HP.,Stat Increase,Available at Start
TP Up,Increases maximum TP.,Stat Increase,Available at Start
Curses,Needed to learn Curses.,Mastery,Available at Start
Stagger,Chance of stunning enemies at the beginning of the battle.,Passive,Torpor Lv.5 Corrupt Lv.5
Sapping,Curse that decreases all enemies' strength.,Weakening Curse,Curses Lv.1
Fraility,Curse that decreases all enemies' defense.
Leaden,Curse that decreases all enemies' speed.
Blinding,Curse that has a chance to blind all enemies.,Debilitation Curse,Curses Lv.2
Relapse,Curse that decreases enemy recovery time from status aiments.,Weakening Curse,Curses Lv.3
Cranial,Curse that has a chance to bind an enemy's head.,Debilitation Curse,Curses Lv.5
Abdomen,Curse that has a chance to bind an enemy's arms.
Immobile,Curse that has a chance of binding an enemy's legs.
Torpor,Curse that has a chance to put all enemies asleep.,Debilitation Curse,Curses Lv.6
Corrupt,Curse that has a chance to give all enemies cursed status.,Debilitation Curse,Curses Lv.7
Revenge,Curse that deals damage to an enemy when struck.,Offensive Curse,Corrupt Lv.10
Evil Eye,Evil gaze that has a chance of terrifying the enemy.,Debilitation Curse,Curses Lv.10
Paralyze,Commands a terrified monster to remain motionless.,Fear Curse,Evil Eye Lv.3
Betrayal,Commands a terrified monster to attack its own comrades,Fear Curse,Evil Eye Lv.5
Suicide,Commands a terrified enemy to take its own life,Fear Curse,Evil Eye Lv.10
Lure,Curses the party to encounter more enemies,Field Curse,Evil Eye Lv.1
Mine,Mine for materials at item points,Gather,Available at Start

HP Up,Increase maximum HP.,Stat Increase,-----
TP Up,Increase maximum TP.,Stat Increase,-----
DEF Up,Increase physical defense.,Stat Increase,-----
Shields,Increase elemental defense.,Stat Increase,-----
Aegis,Preparedness for death makes it possible to survive with 1 HP.,Passive Skill,DEF Up Lv5
En Garde,Chance of automatically blocking enemy attacks.,Passive Skill,DEF Up Lv7 Shields Lv7
Provoke,Increase defense and divert the enemy's attention to you.,Special Skill,DEF Up Lv1
Flee,Sacrifice HP to escape from battle to the previous floor.,Escape Skill,DEF Up Lv3
Parry,Await the enemy's attack to parry it and negate the damage.,Defense Skill,
Fortify,Digs in for ironclad defense against physical damage.,Defense Skill,DEF Up Lv3 Shields Lv3
Defender,Organizes the party into a formation of increased defense.,Defense Skill,F. Guard Lv3 B. Guard Lv3
F. Guard,May take damage in the front line's place.,Shield Skill,Shields Lv1
B. Guard,May take damage in the back line's place.,
Antifire,Briefly raises the party's fire resistance.,Shield Skill,Shields Lv5 TP Up Lv3
Antivolt,Briefly raises the party's volt resistance.,Shield Skill,Shields Lv5 TP Up Lv3
Anticold,Briefly raises the party's ice resistance.,Shield Skill,Shields Lv5 TP Up Lv3
Smite,Deals a powerful bash to the enemy.,Shield Skill,Shields Lv10 Fortify Lv5
Cure,Heals a small amount of HP.,Healing Skill,HP Up Lv3
Cure II,Heals a medium amount of HP.,Healing Skill,HP Up Lv5
Stalker,Cautious steps reduce the chances of enemy encounters.,Search Skill,DEF Up Lv5
Mine,Mine for materials at item points.,Search Skill,-----
